,Macd连涨趋势,Macd连跌趋势,平均比--Macd连涨趋势,平均比--Macd连跌趋势,趋势类型
2003-04,0,0,0.0,0.0,0.0
2003-05,0,0,0.0,0.0,0.0
2003-06,0,0,0.0,0.0,0.0
2003-07,231,381,0.528604118993135,0.9863467014846414,3.0
2003-08,188,542,0.4302059496567506,1.4031493758652904,2.0
2003-09,177,570,0.40503432494279173,1.4756367974967077,2.0
2003-10,130,619,0.2974828375286041,1.6024897853516877,1.0
2003-11,93,666,0.2128146453089245,1.7241651002329952,1.0
2003-12,135,610,0.30892448512585813,1.5791902569701608,1.0
2004-01,241,513,0.551487414187643,1.3280731177470368,3.0
2004-02,360,199,0.8237986270022883,0.5151784608804295,5.0
2004-03,750,67,1.7162471395881007,0.17345204461803407,8.0
2004-04,897,52,2.0526315789473686,0.1346194973154891,8.0
2004-05,700,62,1.6018306636155606,0.1605078621838524,8.0
2004-06,615,241,1.4073226544622426,0.6239095933275554,6.0
2004-07,201,323,0.459954233409611,0.8361941852481343,3.0
2004-08,139,678,0.3180778032036613,1.7552311380750312,1.0
2004-09,157,695,0.35926773455377575,1.7992413583512488,1.0
2004-10,200,491,0.4576659038901602,1.2711187150366376,2.0
2004-11,276,443,0.631578947368421,1.146854563668494,3.0
2004-12,316,360,0.7231121281464531,0.9319811352610785,4.0
2005-01,333,368,0.7620137299771167,0.9526918271557692,4.0
2005-02,222,611,0.5080091533180778,1.581779093456997,2.0
2005-03,284,268,0.6498855835240275,0.6938081784721363,4.0
2005-04,327,251,0.7482837528604119,0.6497979581959186,4.0
2005-05,216,599,0.494279176201373,1.550713055614961,2.0
2005-06,210,646,0.4805491990846682,1.6723883704962685,2.0
2005-07,275,600,0.6292906178489702,1.5533018921017976,3.0
2005-08,303,572,0.6933638443935927,1.4808144704703803,3.0
2005-09,340,215,0.7780320366132724,0.5565998446698107,5.0
2005-10,806,156,1.8443935926773456,0.40385849194646734,7.0
2005-11,764,149,1.7482837528604118,0.38573663653861306,7.0
2005-12,752,182,1.7208237986270023,0.4711682406042119,7.0
2006-01,808,146,1.8489702517162472,0.37797012707810407,7.0
