,sar上涨形成趋势,sar上涨停滞趋势,sar下跌形成趋势,sar下跌停滞趋势,平均比--上涨形成,平均比--上涨停滞,平均比--下跌形成,平均比--下跌停滞,趋势类型,趋势类型(加权
2003-04,0,0,0,0,0.0,0.0,0.0,0.0,0,0
2003-05,0,0,0,0,0.0,0.0,0.0,0.0,0,0
2003-06,254,110,111,610,1.0801715849419422,0.47483202582485645,0.4732685748183301,1.7592697087110811,3,1
2003-07,43,296,584,162,0.18286369351379336,1.2777298149468865,2.489989618864007,0.46721588985441825,2,1
2003-08,115,177,463,333,0.48905406404851715,0.7640478960999962,1.974084235503485,0.9603882180340819,2,2
2003-09,47,206,401,438,0.19987426965461136,0.8892308847265493,1.7097360225418954,1.2632133318286123,2,1
2003-10,57,159,501,372,0.24240071000665633,0.6863481100559289,2.1361041079638143,1.072866117443479,2,2
2003-11,76,99,642,272,0.3232009466755418,0.4273488232423708,2.7372831084087204,0.7844612471629738,2,2
2003-12,80,65,181,766,0.34021152281635975,0.2805825607146879,0.7717262346136734,2.209181306348669,3,3
2004-01,159,36,278,621,0.676170401597515,0.15539957208813485,1.1853032774729348,1.7909942444419367,3,2
2004-02,246,62,45,745,1.0461504326603062,0.26763259637401,0.19186563843986357,2.148616283589763,3,3
2004-03,601,77,21,400,2.555839065157903,0.3323824180773995,0.089537297938603,1.1536194811220204,0,0
2004-04,546,199,51,301,2.321943643221655,0.8590143012649676,0.21744772356517872,0.8680986595443203,0,1
2004-05,127,660,282,28,0.5400857924709711,2.848992154949139,1.2023580008898116,0.08075336367854143,1,1
2004-06,178,535,198,175,0.7569706382664004,2.3094103074208925,0.8442088091353996,0.5047085229908839,1,1
2004-07,9,332,718,27,0.03827379631684047,1.4331293870350212,3.061322853329379,0.07786931497573638,2,1
2004-08,126,93,499,368,0.5358331484357666,0.401448894561015,2.127576746255376,1.0613299226322588,2,2
2004-09,29,98,579,381,0.1233266770209304,0.4230321684621448,2.468671214592911,1.0988225557687243,2,2
2004-10,95,17,99,875,0.4040011833444272,0.07338313126384145,0.4221044045676998,2.52354261495442,3,3
2004-11,54,55,674,304,0.22964277790104284,0.23741601291242823,2.8737208957437343,0.8767508056527354,2,2
2004-12,57,65,82,885,0.24240071000665633,0.2805825607146879,0.3496218300459736,2.5523831019824703,3,3
